Trace;Search;Category;State;Event Start Time (ms);Event End Time (ms);Baseline (pA);Peak Amp (pA);Time to Peak (ms);Time of Peak (ms);Antipeak Amp (pA);Time to Antipeak (ms);Time of Antipeak (ms);Half-width (ms);Half-amplitude (pA);Time to Rise Half-amplitude (ms);Time to Decay Half-amplitude (ms);Rise Tau (ms);Decay Tau (ms);Max Rise Slope (pA/ms);Time to Max Rise Slope (ms);Max Decay Slope (pA/ms);Time to Max Decay Slope (ms);Rise Slope 10% to 90% (pA/ms);Rise Time 10% to 90% (ms);Decay Slope 90% to 10% (pA/ms);Decay Time 90% to 10% (ms);Area (pA ú ms);Inst. Freq. (Hz);Interevent Interval (ms);S.D. of Fit;Template Match; ;G1: Midpoint, Cat 1;G1: Bin Count, Cat 1;G1: Midpoint, Cat 2;G1: Bin Count, Cat 2;G1: Midpoint, Cat 3;G1: Bin Count, Cat 3;G1: Midpoint, Cat 4;G1: Bin Count, Cat 4;G1: Midpoint, Cat 5;G1: Bin Count, Cat 5;G1: Midpoint, Cat 6;G1: Bin Count, Cat 6;G1: Midpoint, Cat 7;G1: Bin Count, Cat 7;G1: Midpoint, Cat 8;G1: Bin Count, Cat 8;G1: Midpoint, Cat 9;G1: Bin Count, Cat 9;G2: Midpoint, Cat 1;G2: Bin Count, Cat 1;G2: Midpoint, Cat 2;G2: Bin Count, Cat 2;G2: Midpoint, Cat 3;G2: Bin Count, Cat 3;G2: Midpoint, Cat 4;G2: Bin Count, Cat 4;G2: Midpoint, Cat 5;G2: Bin Count, Cat 5;G2: Midpoint, Cat 6;G2: Bin Count, Cat 6;G2: Midpoint, Cat 7;G2: Bin Count, Cat 7;G2: Midpoint, Cat 8;G2: Bin Count, Cat 8;G2: Midpoint, Cat 9;G2: Bin Count, Cat 9;G3: Midpoint, Cat 1;G3: Bin Count, Cat 1;G3: Midpoint, Cat 2;G3: Bin Count, Cat 2;G3: Midpoint, Cat 3;G3: Bin Count, Cat 3;G3: Midpoint, Cat 4;G3: Bin Count, Cat 4;G3: Midpoint, Cat 5;G3: Bin Count, Cat 5;G3: Midpoint, Cat 6;G3: Bin Count, Cat 6;G3: Midpoint, Cat 7;G3: Bin Count, Cat 7;G3: Midpoint, Cat 8;G3: Bin Count, Cat 8;G3: Midpoint, Cat 9;G3: Bin Count, Cat 9;G4: Midpoint, Cat 1;G4: Bin Count, Cat 1;G4: Midpoint, Cat 2;G4: Bin Count, Cat 2;G4: Midpoint, Cat 3;G4: Bin Count, Cat 3;G4: Midpoint, Cat 4;G4: Bin Count, Cat 4;G4: Midpoint, Cat 5;G4: Bin Count, Cat 5;G4: Midpoint, Cat 6;G4: Bin Count, Cat 6;G4: Midpoint, Cat 7;G4: Bin Count, Cat 7;G4: Midpoint, Cat 8;G4: Bin Count, Cat 8;G4: Midpoint, Cat 9;G4: Bin Count, Cat 9; ;G1: ScPlot X, Cat 1;G1: ScPlot Y, Cat 1;G1: ScPlot X, Cat 2;G1: ScPlot Y, Cat 2;G1: ScPlot X, Cat 3;G1: ScPlot Y, Cat 3;G1: ScPlot X, Cat 4;G1: ScPlot Y, Cat 4;G1: ScPlot X, Cat 5;G1: ScPlot Y, Cat 5;G1: ScPlot X, Cat 6;G1: ScPlot Y, Cat 6;G1: ScPlot X, Cat 7;G1: ScPlot Y, Cat 7;G1: ScPlot X, Cat 8;G1: ScPlot Y, Cat 8;G1: ScPlot X, Cat 9;G1: ScPlot Y, Cat 9;G2: ScPlot X, Cat 1;G2: ScPlot Y, Cat 1;G2: ScPlot X, Cat 2;G2: ScPlot Y, Cat 2;G2: ScPlot X, Cat 3;G2: ScPlot Y, Cat 3;G2: ScPlot X, Cat 4;G2: ScPlot Y, Cat 4;G2: ScPlot X, Cat 5;G2: ScPlot Y, Cat 5;G2: ScPlot X, Cat 6;G2: ScPlot Y, Cat 6;G2: ScPlot X, Cat 7;G2: ScPlot Y, Cat 7;G2: ScPlot X, Cat 8;G2: ScPlot Y, Cat 8;G2: ScPlot X, Cat 9;G2: ScPlot Y, Cat 9;G3: ScPlot X, Cat 1;G3: ScPlot Y, Cat 1;G3: ScPlot X, Cat 2;G3: ScPlot Y, Cat 2;G3: ScPlot X, Cat 3;G3: ScPlot Y, Cat 3;G3: ScPlot X, Cat 4;G3: ScPlot Y, Cat 4;G3: ScPlot X, Cat 5;G3: ScPlot Y, Cat 5;G3: ScPlot X, Cat 6;G3: ScPlot Y, Cat 6;G3: ScPlot X, Cat 7;G3: ScPlot Y, Cat 7;G3: ScPlot X, Cat 8;G3: ScPlot Y, Cat 8;G3: ScPlot X, Cat 9;G3: ScPlot Y, Cat 9;G4: ScPlot X, Cat 1;G4: ScPlot Y, Cat 1;G4: ScPlot X, Cat 2;G4: ScPlot Y, Cat 2;G4: ScPlot X, Cat 3;G4: ScPlot Y, Cat 3;G4: ScPlot X, Cat 4;G4: ScPlot Y, Cat 4;G4: ScPlot X, Cat 5;G4: ScPlot Y, Cat 5;G4: ScPlot X, Cat 6;G4: ScPlot Y, Cat 6;G4: ScPlot X, Cat 7;G4: ScPlot Y, Cat 7;G4: ScPlot X, Cat 8;G4: ScPlot Y, Cat 8;G4: ScPlot X, Cat 9;G4: ScPlot Y, Cat 9; ;g1: ScPlot X, Cat 1 (selected);g1: ScPlot Y, Cat 1 (selected);g1: ScPlot X, Cat 2 (selected);g1: ScPlot Y, Cat 2 (selected);g1: ScPlot X, Cat 3 (selected);g1: ScPlot Y, Cat 3 (selected);g1: ScPlot X, Cat 4 (selected);g1: ScPlot Y, Cat 4 (selected);g1: ScPlot X, Cat 5 (selected);g1: ScPlot Y, Cat 5 (selected);g1: ScPlot X, Cat 6 (selected);g1: ScPlot Y, Cat 6 (selected);g1: ScPlot X, Cat 7 (selected);g1: ScPlot Y, Cat 7 (selected);g1: ScPlot X, Cat 8 (selected);g1: ScPlot Y, Cat 8 (selected);g1: ScPlot X, Cat 9 (selected);g1: ScPlot Y, Cat 9 (selected);g2: ScPlot X, Cat 1 (selected);g2: ScPlot Y, Cat 1 (selected);g2: ScPlot X, Cat 2 (selected);g2: ScPlot Y, Cat 2 (selected);g2: ScPlot X, Cat 3 (selected);g2: ScPlot Y, Cat 3 (selected);g2: ScPlot X, Cat 4 (selected);g2: ScPlot Y, Cat 4 (selected);g2: ScPlot X, Cat 5 (selected);g2: ScPlot Y, Cat 5 (selected);g2: ScPlot X, Cat 6 (selected);g2: ScPlot Y, Cat 6 (selected);g2: ScPlot X, Cat 7 (selected);g2: ScPlot Y, Cat 7 (selected);g2: ScPlot X, Cat 8 (selected);g2: ScPlot Y, Cat 8 (selected);g2: ScPlot X, Cat 9 (selected);g2: ScPlot Y, Cat 9 (selected);g3: ScPlot X, Cat 1 (selected);g3: ScPlot Y, Cat 1 (selected);g3: ScPlot X, Cat 2 (selected);g3: ScPlot Y, Cat 2 (selected);g3: ScPlot X, Cat 3 (selected);g3: ScPlot Y, Cat 3 (selected);g3: ScPlot X, Cat 4 (selected);g3: ScPlot Y, Cat 4 (selected);g3: ScPlot X, Cat 5 (selected);g3: ScPlot Y, Cat 5 (selected);g3: ScPlot X, Cat 6 (selected);g3: ScPlot Y, Cat 6 (selected);g3: ScPlot X, Cat 7 (selected);g3: ScPlot Y, Cat 7 (selected);g3: ScPlot X, Cat 8 (selected);g3: ScPlot Y, Cat 8 (selected);g3: ScPlot X, Cat 9 (selected);g3: ScPlot Y, Cat 9 (selected);g4: ScPlot X, Cat 1 (selected);g4: ScPlot Y, Cat 1 (selected);g4: ScPlot X, Cat 2 (selected);g4: ScPlot Y, Cat 2 (selected);g4: ScPlot X, Cat 3 (selected);g4: ScPlot Y, Cat 3 (selected);g4: ScPlot X, Cat 4 (selected);g4: ScPlot Y, Cat 4 (selected);g4: ScPlot X, Cat 5 (selected);g4: ScPlot Y, Cat 5 (selected);g4: ScPlot X, Cat 6 (selected);g4: ScPlot Y, Cat 6 (selected);g4: ScPlot X, Cat 7 (selected);g4: ScPlot Y, Cat 7 (selected);g4: ScPlot X, Cat 8 (selected);g4: ScPlot Y, Cat 8 (selected);g4: ScPlot X, Cat 9 (selected);g4: ScPlot Y, Cat 9 (selected)
1;1;1;A;55945.398;55947.902;0.962;-9.52117;1.102;55946.5;5.9047;2;55947.398;0.48577;-4.76058;0.968;1.453;0.17955;0.42061;-45.626;0.951;35.312;0.35;-26.84205;0.26211;27.59799;0.28762;-2.15562;243.80209;4.10169;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;55950.898;55953.203;0.962;-7.3591;1.102;55952;1.47667;0;55950.898;0.3059;-3.67955;0.912;1.218;1.06927;0.11831;-20.734;1.051;31.874;0.15;-7.10923;0.61972;17.21588;0.26406;-3.26823;181.81818;5.5;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56086.898;56089.402;0.962;-13.48688;1.203;56088.102;3.32762;2;56088.898;0.37393;-6.74344;1.009;1.383;0.22652;4.03112;-50.157;0.951;57.391;0.148;-8.94308;0.74166;53.94384;0.2192;-4.943;7.34745;136.10156;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56106;56108.703;0.962;-14.02202;1.301;56107.301;3.9825;2.301;56108.301;0.40781;-7.01101;1.087;1.495;0.24398;17.90064;-60.001;1.15;40.155;0.049;-21.38129;0.33868;29.84111;0.35056;-4.60097;52.08562;19.19916;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56189.898;56192.203;0.962;-8.99681;1.102;56191;0.02062;1.703;56191.602;0.25397;-4.49841;0.99;1.243;0.22988;0.16;-40.566;1.051;42.655;0.15;-24.43644;0.21086;28.40105;0.24394;-5.96153;11.94753;83.69928;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56688.5;56691.203;0.962;-11.52699;1.301;56689.801;3.41034;2.5;56691;0.48055;-5.7635;1.048;1.529;2.11027;0.58741;-40.866;1.051;56.49;0.25;-32.01696;0.30398;39.10169;0.21317;-2.84652;2.00481;498.80072;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56832.301;56834.902;0.962;-11.51203;1.301;56833.602;2.5102;2;56834.301;0.44282;-5.75602;1.069;1.512;0.26335;0.70229;-44.532;1.049;37.499;0.248;-12.41221;0.4798;28.4032;0.33607;-5.87384;6.95405;143.80099;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56910.199;56912.797;0.962;-12.57006;1.199;56911.398;3.69487;2.301;56912.5;0.39206;-6.28503;1.049;1.441;0.28129;0.94169;-59.797;1.051;34.687;0.252;-27.28321;0.27366;33.09142;0.31588;-3.6592;12.85403;77.79664;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;56976.301;56978.902;0.962;-10.42913;1.301;56977.602;3.79155;1.898;56978.199;0.48308;-5.21457;1.043;1.526;0.28545;0.57089;-38.595;1.049;36.405;0.248;-31.85938;0.27645;31.2932;0.25088;-2.88821;15.10497;66.20336;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;57167.699;57170.297;0.962;-10.07321;1.301;57169;3.39962;2.102;57169.801;0.44137;-5.0366;1.039;1.48;0.8202;0.5754;-37.711;1.051;38.437;0.15;-36.54361;0.26365;19.21203;0.38817;-3.67176;5.22471;191.39819;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;57184.801;57187.496;0.962;-11.64416;1.301;57186.102;4.28517;2.301;57187.102;0.45585;-5.82208;1.073;1.529;0.49683;0.44091;-59.22;1.049;41.874;0.248;-40.01339;0.20048;38.27279;0.24759;-2.42644;58.47338;17.1018;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;57378.398;57380.996;0.962;-11.74787;1.301;57379.699;3.86102;2.301;57380.699;0.43129;-5.87393;1.068;1.499;0.47747;1.82588;-59.045;1.051;47.03;0.15;-40.33774;0.23652;36.74055;0.24077;-3.89523;5.16536;193.5975;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;57909.199;57911.902;0.962;-12.39793;1.301;57910.5;4.172;2.602;57911.801;0.52057;-6.19897;1.007;1.527;0.47777;1.54507;-40.566;1.051;43.268;0.25;-31.54409;0.36601;32.27838;0.32172;-3.55325;1.88395;530.80072;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58029.5;58031.996;0.962;-13.62937;1.199;58030.699;4.86351;2.102;58031.602;0.36039;-6.81468;1.012;1.372;0.26013;1.33019;-48.679;1.051;52.968;0.15;-12.29667;0.66284;36.85113;0.28749;-4.26739;8.31952;120.19923;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58054.898;58057.496;0.962;-14.85643;1.203;58056.102;2.47696;1.902;58056.801;0.40275;-7.42822;1.049;1.452;0.13909;3.25038;-53.336;1.051;47.926;0.148;-21.31295;0.42327;32.96262;0.30269;-6.63831;39.36635;25.40241;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58076.801;58079.102;0.962;-6.71153;1.098;58077.898;2.36694;1.699;58078.5;0.27919;-3.35576;0.953;1.233;5.90398;0.38742;-27.795;0.949;31.7;0.352;-24.07605;0.22482;13.4201;0.33573;-2.04931;45.87781;21.79703;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58168.898;58171.602;0.962;-16.00638;1.301;58170.199;2.57805;2.203;58171.102;0.42542;-8.00319;1.075;1.501;0.25549;2.53863;-52.134;1.051;54.374;0.15;-39.26323;0.33825;46.09503;0.28275;-6.19311;10.83416;92.30063;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58198.801;58201.402;0.962;-11.77454;1.199;58200;3.97193;1.898;58200.699;0.39051;-5.88727;1.032;1.422;0.18121;0.35318;-37.861;1.148;73.467;0.25;-11.10383;0.62229;73.4667;0.1595;-4.02933;33.55599;29.80094;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58279.898;58282.496;0.962;-14.23927;1.301;58281.199;3.82628;2.301;58282.199;0.36515;-7.11963;1.106;1.471;0.19364;0.33513;-46.275;1.152;43.593;0.15;-27.012;0.3711;33.43453;0.28102;-5.4571;12.31541;81.19907;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58293.5;58295.902;0.962;-7.21637;1.102;58294.602;1.09907;1.801;58295.301;0.47964;-3.60819;0.949;1.429;0.14322;2.47067;-27.946;1.051;27.794;0.348;Not;found;Not;found;13.35693;0.44079;-5.03474;74.61417;13.40228;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58366.602;58369.297;0.962;-12.74148;1.398;58368;2.63861;2.297;58368.898;0.52192;-6.37074;1.051;1.573;0.33206;0.3201;-48.907;1.049;52.812;0.15;-33.39351;0.33716;33.79317;0.28572;-6.75599;13.62428;73.39838;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58500.801;58503.297;0.962;-12.84673;1.199;58502;5.12805;1.898;58502.699;0.35909;-6.42336;1.016;1.375;0.23762;0.75612;-44.375;1.049;46.094;0.15;-12.46824;0.60691;43.4882;0.25467;-2.98416;7.46267;134.00027;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58662.801;58665.496;0.962;-10.75882;1.199;58664;3.15706;2.398;58665.199;0.56179;-5.37941;1.011;1.573;0.18736;0.38788;-47.188;1.049;41.094;0.35;-4.34375;1.02101;40.28272;0.25625;-5.7666;6.17284;162;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;58791.199;58793.996;0.962;-14.6792;1.402;58792.602;2.57837;2.5;58793.699;0.50315;-7.3396;1.091;1.594;0.4359;0.38179;-53.636;1.051;55.739;0.148;-26.31239;0.51612;38.05036;0.31484;-7.38599;7.77597;128.60132;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;59327.602;59329.902;0.962;-6.62044;1.098;59328.699;1.32946;0.398;59328;0.84866;-3.31022;0.741;1.59;0.40256;0.77204;-20.583;0.848;18.594;0.65;-16.93527;0.30157;7.49222;0.62136;-5.07997;1.86533;536.0976;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;59871.5;59873.797;0.962;-8.02299;1.102;59872.602;2.32241;1.602;59873.102;0.2728;-4.0115;0.963;1.236;7.29207;0.5259;-48.528;0.949;30.937;0.049;-36.08237;0.16935;19.21347;0.30185;-1.23819;1.83857;543.9024;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;59877.699;59880.102;0.962;-9.53429;1.102;59878.801;4.15276;1.801;59879.5;0.32219;-4.76715;1.01;1.332;0.15521;0.47283;-51.833;1.051;35.607;0.148;-18.78955;0.24253;30.13468;0.23172;-1.70389;161.31114;6.1992;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
